2023-10-10 12:48:08,888 INFO    StreamThr :30427 [internal.py:wandb_internal():86] W&B internal server running at pid: 30427, started at: 2023-10-10 12:48:08.887208
2023-10-10 12:48:08,889 DEBUG   HandlerThread:30427 [handler.py:handle_request():144] handle_request: status
2023-10-10 12:48:08,897 INFO    WriterThread:30427 [datastore.py:open_for_write():85] open: /Users/stav.42/RL_Library/cartpole/ppo/wandb/run-20231010_124808-i2yzlmt6/run-i2yzlmt6.wandb
2023-10-10 12:48:08,898 DEBUG   SenderThread:30427 [sender.py:send():380] send: header
2023-10-10 12:48:08,950 DEBUG   SenderThread:30427 [sender.py:send():380] send: run
2023-10-10 12:48:09,742 INFO    SenderThread:30427 [dir_watcher.py:__init__():211] watching files in: /Users/stav.42/RL_Library/cartpole/ppo/wandb/run-20231010_124808-i2yzlmt6/files
2023-10-10 12:48:09,742 INFO    SenderThread:30427 [sender.py:_start_run_threads():1122] run started: i2yzlmt6 with start time 1696922288.88794
2023-10-10 12:48:09,762 DEBUG   HandlerThread:30427 [handler.py:handle_request():144] handle_request: check_version
2023-10-10 12:48:09,762 DEBUG   SenderThread:30427 [sender.py:send_request():407] send_request: check_version
2023-10-10 12:48:10,074 DEBUG   HandlerThread:30427 [handler.py:handle_request():144] handle_request: run_start
2023-10-10 12:48:10,095 DEBUG   HandlerThread:30427 [system_info.py:__init__():32] System info init
2023-10-10 12:48:10,096 DEBUG   HandlerThread:30427 [system_info.py:__init__():47] System info init done
2023-10-10 12:48:10,096 INFO    HandlerThread:30427 [system_monitor.py:start():181] Starting system monitor
2023-10-10 12:48:10,096 INFO    SystemMonitor:30427 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-10-10 12:48:10,096 INFO    HandlerThread:30427 [system_monitor.py:probe():201] Collecting system info
2023-10-10 12:48:10,097 INFO    SystemMonitor:30427 [interfaces.py:start():190] Started cpu monitoring
2023-10-10 12:48:10,097 DEBUG   HandlerThread:30427 [system_info.py:probe():196] Probing system
2023-10-10 12:48:10,098 INFO    SystemMonitor:30427 [interfaces.py:start():190] Started disk monitoring
2023-10-10 12:48:10,099 INFO    SystemMonitor:30427 [interfaces.py:start():190] Started gpuapple monitoring
2023-10-10 12:48:10,102 INFO    SystemMonitor:30427 [interfaces.py:start():190] Started memory monitoring
2023-10-10 12:48:10,104 INFO    SystemMonitor:30427 [interfaces.py:start():190] Started network monitoring
2023-10-10 12:48:10,109 DEBUG   HandlerThread:30427 [system_info.py:_probe_git():181] Probing git
2023-10-10 12:48:10,143 DEBUG   HandlerThread:30427 [system_info.py:_probe_git():189] Probing git done
2023-10-10 12:48:10,144 DEBUG   HandlerThread:30427 [system_info.py:probe():244] Probing system done
2023-10-10 12:48:10,144 DEBUG   HandlerThread:30427 [system_monitor.py:probe():210] {'os': 'macOS-13.4.1-arm64-arm-64bit', 'python': '3.9.16', 'heartbeatAt': '2023-10-10T07:18:10.098027', 'startedAt': '2023-10-10T07:18:08.876690', 'docker': None, 'cuda': None, 'args': ('--track', '1', '--description', 'wandblogging'), 'state': 'running', 'program': '/Users/stav.42/RL_Library/cartpole/ppo/tparallel.py', 'codePathLocal': 'tparallel.py', 'codePath': 'cartpole/ppo/tparallel.py', 'git': {'remote': 'https://github.com/Stav42/RL_Library.git', 'commit': 'f33a052313963931f49c2ad3221324b3dc2efc94'}, 'email': 'vaditya@iitk.ac.in', 'root': '/Users/stav.42/RL_Library', 'host': 'Adityas-MacBook-Pro.local', 'username': 'stav.42', 'executable': '/Users/stav.42/miniconda3/envs/pytorch_RL/bin/python3', 'cpu_count': 8, 'cpu_count_logical': 8, 'disk': {'/': {'total': 228.27386474609375, 'used': 126.21208572387695}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 8.0}}
2023-10-10 12:48:10,144 INFO    HandlerThread:30427 [system_monitor.py:probe():211] Finished collecting system info
2023-10-10 12:48:10,144 INFO    HandlerThread:30427 [system_monitor.py:probe():214] Publishing system info
2023-10-10 12:48:10,144 DEBUG   HandlerThread:30427 [system_info.py:_save_pip():52] Saving list of pip packages installed into the current environment
2023-10-10 12:48:10,144 DEBUG   HandlerThread:30427 [system_info.py:_save_pip():68] Saving pip packages done
2023-10-10 12:48:10,144 DEBUG   HandlerThread:30427 [system_info.py:_save_conda():75] Saving list of conda packages installed into the current environment
2023-10-10 12:48:10,747 INFO    Thread-12 :30427 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/stav.42/RL_Library/cartpole/ppo/wandb/run-20231010_124808-i2yzlmt6/files/conda-environment.yaml
2023-10-10 12:48:10,748 INFO    Thread-12 :30427 [dir_watcher.py:_on_file_created():271] file/dir created: /Users/stav.42/RL_Library/cartpole/ppo/wandb/run-20231010_124808-i2yzlmt6/files/requirements.txt
2023-10-10 12:48:12,242 DEBUG   HandlerThread:30427 [system_info.py:_save_conda():87] Saving conda packages done
2023-10-10 12:48:12,242 DEBUG   HandlerThread:30427 [system_info.py:_save_code():90] Saving code
2023-10-10 12:48:12,254 DEBUG   HandlerThread:30427 [system_info.py:_save_code():111] Saving code done
2023-10-10 12:48:12,254 DEBUG   HandlerThread:30427 [system_info.py:_save_patches():128] Saving git patches
2023-10-10 12:48:12,322 DEBUG   HandlerThread:30427 [system_info.py:_save_patches():170] Saving git patches done
2023-10-10 12:48:12,323 INFO    HandlerThread:30427 [system_monitor.py:probe():216] Finished publishing system info
2023-10-10 12:48:12,326 DEBUG   SenderThread:30427 [sender.py:send():380] send: files
2023-10-10 12:48:12,326 INFO    SenderThread:30427 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-10-10 12:48:12,326 INFO    SenderThread:30427 [sender.py:_save_file():1378] saving file code/cartpole/ppo/tparallel.py with policy now
2023-10-10 12:48:12,327 INFO    SenderThread:30427 [sender.py:_save_file():1378] saving file diff.patch with policy now
2023-10-10 12:48:12,332 DEBUG   HandlerThread:30427 [handler.py:handle_request():144] handle_request: stop_status
2023-10-10 12:48:12,333 DEBUG   HandlerThread:30427 [handler.py:handle_request():144] handle_request: internal_messages
2023-10-10 12:48:12,333 DEBUG   SenderThread:30427 [sender.py:send_request():407] send_request: stop_status
